popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
88,7,8,8,10,1,1,2,0,0,5,5,1,4
91,8,5,8,9,2,0,4,0,0,6,4,1,4
82,8,7,0,9,2,0,0,0,3,3,4,1,4
85,8,6,9,9,1,0,0,0,1,5,5,1,4
87,9,3,7,7,2,3,7,1,1,1,5,1,4
83,6,7,4,10,1,1,1,0,1,4,6,1,4
89,7,5,7,9,2,0,4,0,2,3,4,1,4
82,6,4,5,9,2,0,6,0,1,4,4,1,4
92,7,6,7,9,2,0,0,0,1,4,4,1,4
84,8,5,7,9,2,1,7,0,0,2,6,1,4
82,9,6,1,9,2,2,0,0,0,4,3,1,4
86,4,1,0,7,2,0,9,0,1,1,6,1,4
81,7,8,5,10,1,5,0,0,1,6,8,1,4
83,7,5,4,10,2,0,7,0,1,3,5,1,4
88,5,6,6,9,2,4,0,0,1,3,4,1,4
81,5,8,0,9,2,0,0,0,0,6,3,1,4
89,8,7,9,9,1,0,0,0,0,6,5,1,4
83,6,7,0,10,2,0,1,0,3,5,6,1,4
83,2,2,3,9,1,0,8,0,5,3,3,1,3
87,6,8,0,10,2,0,0,0,1,7,8,1,4
84,6,3,4,8,2,5,2,0,0,5,4,1,4
88,8,4,0,9,2,0,1,0,0,8,4,1,4
81,6,6,6,9,1,4,5,0,0,6,5,1,4
88,7,8,1,10,2,0,5,0,1,8,5,1,4
81,9,4,9,9,2,3,0,0,1,4,4,1,4
0,7,6,0,9,2,3,5,0,1,6,8,1,4
0,7,7,3,9,1,2,0,0,1,5,8,1,4
0,7,8,4,10,1,0,0,0,2,8,4,1,4
0,7,6,3,9,1,2,0,0,1,6,8,1,4
0,9,8,9,10,1,2,1,0,2,9,4,1,4
83,7,7,5,9,1,1,2,0,3,3,4,1,4
83,7,8,6,10,2,1,0,0,4,8,5,1,4
87,6,7,6,9,2,0,2,0,4,5,4,1,4
86,5,5,7,9,2,2,1,0,1,3,4,1,4
81,7,6,0,9,2,3,5,0,4,1,6,1,4
87,5,5,4,9,2,0,1,0,2,2,6,1,4
86,8,3,6,8,2,2,3,0,7,2,5,1,4
85,7,6,0,9,2,0,0,0,0,6,5,1,4
87,7,4,2,10,1,0,0,0,1,4,6,1,4
88,7,8,7,9,2,0,1,0,3,3,4,1,4
81,9,6,3,9,1,1,2,0,1,9,5,1,4
82,6,4,1,9,2,0,4,0,1,3,6,1,4
87,8,7,0,9,1,0,0,0,1,9,6,1,4
85,7,1,8,9,1,0,8,0,0,3,3,1,4
82,8,4,3,8,1,1,5,1,1,2,5,1,4
84,5,7,8,9,2,1,1,0,1,5,7,1,4
82,8,5,9,9,2,2,0,0,2,4,4,1,4
81,6,5,9,9,1,0,2,0,0,3,3,1,4
86,7,5,4,9,1,0,0,0,1,3,7,1,4
82,7,6,0,9,2,2,1,0,1,6,7,1,4
80,9,5,3,9,1,1,0,0,1,5,5,1,4
81,9,4,7,9,2,1,0,0,1,1,5,1,4
82,8,6,0,10,2,0,0,0,0,4,7,1,4
79,7,6,3,9,1,4,2,0,6,5,7,1,4
93,7,8,9,9,1,0,0,0,1,6,3,1,4
85,6,5,3,8,2,1,4,2,1,3,6,1,4
90,8,7,4,9,2,0,3,0,4,8,4,1,4
83,7,6,8,9,2,0,1,0,4,6,6,1,4
82,4,7,0,10,2,0,1,0,2,4,7,1,4
83,5,0,1,7,2,0,9,0,1,2,4,1,4
87,7,7,9,9,1,1,1,0,1,7,6,1,4
86,7,4,7,9,1,3,2,1,1,5,8,1,4
